county,model_year,new_registrations,cumulative_registrations
ALBANY,2011,0,0
ALBANY,2012,5,5
ALBANY,2013,12,17
ALBANY,2014,12,29
ALBANY,2015,16,45
ALBANY,2016,53,98
ALBANY,2017,42,140
ALBANY,2018,97,237
ALBANY,2019,116,353
ALBANY,2020,139,492
ALBANY,2021,221,713
ALBANY,2022,510,1223
ALBANY,2023,838,2061
ALBANY,2024,875,2936
ALBANY,2025,713,3649
ALLEGANY,2011,0,0
ALLEGANY,2012,1,1
ALLEGANY,2013,1,2
ALLEGANY,2014,0,2
ALLEGANY,2015,0,2
ALLEGANY,2016,0,2
ALLEGANY,2017,1,3
ALLEGANY,2018,4,7
ALLEGANY,2019,3,10
ALLEGANY,2020,1,11
ALLEGANY,2021,9,20
ALLEGANY,2022,10,30
ALLEGANY,2023,27,57
ALLEGANY,2024,34,91
ALLEGANY,2025,21,112
BRONX,2011,0,0
BRONX,2012,0,0
BRONX,2013,5,5
BRONX,2014,9,14
BRONX,2015,12,26
BRONX,2016,20,46
BRONX,2017,27,73
BRONX,2018,84,157
BRONX,2019,94,251
BRONX,2020,144,395
BRONX,2021,312,707
BRONX,2022,342,1049
BRONX,2023,1479,2528
BRONX,2024,702,3230
BRONX,2025,534,3764
BROOME,2011,3,3
BROOME,2012,2,5
BROOME,2013,4,9
BROOME,2014,8,17
BROOME,2015,13,30
BROOME,2016,10,40
BROOME,2017,24,64
BROOME,2018,24,88
BROOME,2019,32,120
BROOME,2020,46,166
BROOME,2021,71,237
BROOME,2022,131,368
BROOME,2023,235,603
BROOME,2024,248,851
BROOME,2025,197,1048
CATTARAUGUS,2011,0,0
CATTARAUGUS,2012,1,1
CATTARAUGUS,2013,1,2
CATTARAUGUS,2014,2,4
CATTARAUGUS,2015,2,6
CATTARAUGUS,2016,5,11
CATTARAUGUS,2017,2,13
CATTARAUGUS,2018,4,17
CATTARAUGUS,2019,6,23
CATTARAUGUS,2020,7,30
CATTARAUGUS,2021,6,36
CATTARAUGUS,2022,31,67
CATTARAUGUS,2023,29,96
CATTARAUGUS,2024,33,129
CATTARAUGUS,2025,54,183
CAYUGA,2011,1,1
CAYUGA,2012,1,2
CAYUGA,2013,2,4
CAYUGA,2014,1,5
CAYUGA,2015,6,11
CAYUGA,2016,2,13
CAYUGA,2017,4,17
CAYUGA,2018,9,26
CAYUGA,2019,6,32
CAYUGA,2020,13,45
CAYUGA,2021,21,66
CAYUGA,2022,33,99
CAYUGA,2023,74,173
CAYUGA,2024,76,249
CAYUGA,2025,67,316
CHAUTAUQUA,2011,2,2
CHAUTAUQUA,2012,1,3
CHAUTAUQUA,2013,2,5
CHAUTAUQUA,2014,4,9
CHAUTAUQUA,2015,3,12
CHAUTAUQUA,2016,1,13
CHAUTAUQUA,2017,6,19
CHAUTAUQUA,2018,16,35
CHAUTAUQUA,2019,21,56
CHAUTAUQUA,2020,18,74
CHAUTAUQUA,2021,35,109
CHAUTAUQUA,2022,39,148
CHAUTAUQUA,2023,110,258
CHAUTAUQUA,2024,101,359
CHAUTAUQUA,2025,144,503
CHEMUNG,2011,1,1
CHEMUNG,2012,1,2
CHEMUNG,2013,1,3
CHEMUNG,2014,1,4
CHEMUNG,2015,4,8
CHEMUNG,2016,5,13
CHEMUNG,2017,8,21
CHEMUNG,2018,7,28
CHEMUNG,2019,12,40
CHEMUNG,2020,12,52
CHEMUNG,2021,26,78
CHEMUNG,2022,53,131
CHEMUNG,2023,78,209
CHEMUNG,2024,62,271
CHEMUNG,2025,65,336
CHENANGO,2011,0,0
CHENANGO,2012,0,0
CHENANGO,2013,0,0
CHENANGO,2014,0,0
CHENANGO,2015,3,3
CHENANGO,2016,4,7
CHENANGO,2017,4,11
CHENANGO,2018,2,13
CHENANGO,2019,4,17
CHENANGO,2020,14,31
CHENANGO,2021,13,44
CHENANGO,2022,23,67
CHENANGO,2023,31,98
CHENANGO,2024,41,139
CHENANGO,2025,22,161
CLINTON,2011,0,0
CLINTON,2012,3,3
CLINTON,2013,3,6
CLINTON,2014,1,7
CLINTON,2015,1,8
CLINTON,2016,3,11
CLINTON,2017,6,17
CLINTON,2018,13,30
CLINTON,2019,11,41
CLINTON,2020,10,51
CLINTON,2021,18,69
CLINTON,2022,54,123
