zip,registered_evs,station_count,l1_ports,l2_ports,dcfc_ports,land_sqmi,total_ports,evs_per_dcfc_port,evs_per_total_port,ev_density_per_sqmi,county
02451,1,0.0,0.0,0.0,0.0,5.321,0.0,,,0.18793459875963167,QUEENS
02478,1,0.0,0.0,0.0,0.0,4.645,0.0,,,0.21528525296017226,NEW YORK
02904,5,0.0,0.0,0.0,0.0,5.176,0.0,,,0.9659969088098918,QUEENS
06067,1,0.0,0.0,0.0,0.0,13.292,0.0,,,0.07523322299127294,BRONX
06320,1,0.0,0.0,0.0,0.0,5.63,0.0,,,0.17761989342806395,KINGS
06450,1,0.0,0.0,0.0,0.0,13.922,0.0,,,0.07182876023559832,BRONX
06824,1,0.0,0.0,0.0,0.0,20.087,0.0,,,0.04978344202718176,NEW YORK
06831,3,0.0,0.0,0.0,0.0,27.553,0.0,,,0.10888106558269517,NEW YORK
06902,1,0.0,0.0,0.0,0.0,10.03,0.0,,,0.09970089730807578,BRONX
07002,2,0.0,0.0,0.0,0.0,5.823,0.0,,,0.3434655675768504,QUEENS
07008,4,0.0,0.0,0.0,0.0,4.397,0.0,,,0.9097111667045712,RICHMOND
07013,3,0.0,0.0,0.0,0.0,4.428,0.0,,,0.6775067750677507,QUEENS
07017,1,0.0,0.0,0.0,0.0,2.262,0.0,,,0.4420866489832007,QUEENS
07026,1,0.0,0.0,0.0,0.0,2.111,0.0,,,0.47370914258645186,BRONX
07047,2,0.0,0.0,0.0,0.0,5.131,0.0,,,0.3897875657766517,RICHMOND
07059,1,0.0,0.0,0.0,0.0,19.705,0.0,,,0.050748540979446845,RICHMOND
07072,1,0.0,0.0,0.0,0.0,3.948,0.0,,,0.25329280648429586,QUEENS
07095,1,0.0,0.0,0.0,0.0,4.608,0.0,,,0.2170138888888889,QUEENS
07108,1,0.0,0.0,0.0,0.0,1.379,0.0,,,0.7251631617113851,KINGS
07110,1,0.0,0.0,0.0,0.0,3.374,0.0,,,0.2963841138114997,NEW YORK
07111,1,0.0,0.0,0.0,0.0,2.914,0.0,,,0.34317089910775567,RICHMOND
07208,2,0.0,0.0,0.0,0.0,1.792,0.0,,,1.1160714285714286,BRONX
07302,1,0.0,0.0,0.0,0.0,1.433,0.0,,,0.6978367062107467,NEW YORK
07305,1,0.0,0.0,0.0,0.0,5.7,0.0,,,0.17543859649122806,RICHMOND
07306,6,0.0,0.0,0.0,0.0,2.987,0.0,,,2.008704385671242,KINGS
07307,1,0.0,0.0,0.0,0.0,1.905,0.0,,,0.5249343832020997,QUEENS
07410,1,0.0,0.0,0.0,0.0,5.135,0.0,,,0.19474196689386564,RICHMOND
07436,1,0.0,0.0,0.0,0.0,8.499,0.0,,,0.11766090128250381,QUEENS
07508,2,0.0,0.0,0.0,0.0,5.031,0.0,,,0.3975352812562115,BRONX
07601,2,0.0,0.0,0.0,0.0,4.198,0.0,,,0.4764173415912339,NEW YORK
07604,1,0.0,0.0,0.0,0.0,1.539,0.0,,,0.6497725795971411,NEW YORK
07621,1,0.0,0.0,0.0,0.0,2.906,0.0,,,0.3441156228492773,QUEENS
07652,1,0.0,0.0,0.0,0.0,10.445,0.0,,,0.09573958831977022,QUEENS
07660,1,0.0,0.0,0.0,0.0,1.705,0.0,,,0.5865102639296187,NEW YORK
07670,1,0.0,0.0,0.0,0.0,4.586,0.0,,,0.2180549498473615,RICHMOND
07726,1,0.0,0.0,0.0,0.0,33.081,0.0,,,0.030228832260209785,RICHMOND
07751,1,0.0,0.0,0.0,0.0,16.639,0.0,,,0.06009976561091412,RICHMOND
07869,1,0.0,0.0,0.0,0.0,20.065,0.0,,,0.049838026414153996,RICHMOND
07901,1,0.0,0.0,0.0,0.0,6.333,0.0,,,0.15790304752881731,KINGS
07910,1,0.0,0.0,0.0,0.0,,0.0,,,,RICHMOND
07920,1,0.0,0.0,0.0,0.0,27.172,0.0,,,0.036802590902399526,NEW YORK
08054,28,0.0,0.0,0.0,0.0,21.725,0.0,,,1.288837744533947,RICHMOND
08701,1,0.0,0.0,0.0,0.0,24.736,0.0,,,0.04042690815006468,KINGS
08755,2,0.0,0.0,0.0,0.0,16.01,0.0,,,0.12492192379762647,RICHMOND
08817,2,0.0,0.0,0.0,0.0,10.615,0.0,,,0.18841262364578426,RICHMOND
08830,2,0.0,0.0,0.0,0.0,3.162,0.0,,,0.6325110689437066,RICHMOND
08831,1,0.0,0.0,0.0,0.0,51.3,0.0,,,0.019493177387914232,RICHMOND
08846,1,0.0,0.0,0.0,0.0,3.488,0.0,,,0.286697247706422,RICHMOND
08854,2,0.0,0.0,0.0,0.0,18.928,0.0,,,0.10566356720202874,QUEENS
08857,1,0.0,0.0,0.0,0.0,24.048,0.0,,,0.041583499667332005,RICHMOND
08859,3,0.0,0.0,0.0,0.0,4.756,0.0,,,0.6307821698906644,RICHMOND
08872,4,0.0,0.0,0.0,0.0,9.461,0.0,,,0.4227882887644012,RICHMOND
08879,2,0.0,0.0,0.0,0.0,7.082,0.0,,,0.2824060999717594,RICHMOND
08884,1,0.0,0.0,0.0,0.0,2.31,0.0,,,0.4329004329004329,RICHMOND
10001,194,14.0,0.0,44.0,4.0,0.624,48.0,48.5,4.041666666666667,310.8974358974359,NEW YORK
10002,245,7.0,0.0,18.0,18.0,0.822,36.0,13.61111111111111,6.805555555555555,298.0535279805353,NEW YORK
10003,218,17.0,0.0,69.0,0.0,0.572,69.0,,3.1594202898550723,381.1188811188812,NEW YORK
10004,182,4.0,0.0,29.0,0.0,0.456,29.0,,6.275862068965517,399.12280701754383,NEW YORK
10005,55,4.0,0.0,9.0,0.0,0.073,9.0,,6.111111111111111,753.4246575342466,NEW YORK
10006,47,1.0,0.0,2.0,0.0,0.097,2.0,,23.5,484.5360824742268,NEW YORK
10007,493,6.0,0.0,33.0,0.0,0.16,33.0,,14.93939393939394,3081.25,NEW YORK
10008,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10009,132,0.0,0.0,0.0,0.0,0.617,0.0,,,213.93841166936792,NEW YORK
10010,154,8.0,0.0,24.0,0.0,0.369,24.0,,6.416666666666667,417.3441734417344,NEW YORK
10011,300,17.0,0.0,58.0,0.0,0.647,58.0,,5.172413793103448,463.67851622874804,NEW YORK
10012,137,5.0,0.0,14.0,0.0,0.324,14.0,,9.785714285714286,422.8395061728395,NEW YORK
10013,329,11.0,0.0,30.0,2.0,0.544,32.0,164.5,10.28125,604.7794117647059,NEW YORK
10014,215,10.0,0.0,38.0,0.0,0.485,38.0,,5.657894736842105,443.29896907216494,NEW YORK
10016,189,26.0,0.0,101.0,0.0,0.549,101.0,,1.8712871287128714,344.2622950819672,NEW YORK
10017,83,6.0,0.0,13.0,4.0,0.298,17.0,20.75,4.882352941176471,278.5234899328859,NEW YORK
10018,85,2.0,0.0,7.0,0.0,0.344,7.0,,12.142857142857142,247.09302325581396,NEW YORK
10019,250,30.0,0.0,145.0,0.0,0.659,145.0,,1.7241379310344827,379.3626707132018,NEW YORK
10020,2,2.0,0.0,4.0,0.0,0.018,4.0,,0.5,111.11111111111111,NEW YORK
10021,208,32.0,0.0,164.0,0.0,0.358,164.0,,1.2682926829268293,581.0055865921788,NEW YORK
10022,225,21.0,0.0,78.0,0.0,0.445,78.0,,2.8846153846153846,505.61797752808985,NEW YORK
10023,385,23.0,0.0,93.0,4.0,0.969,97.0,96.25,3.9690721649484537,397.3168214654283,NEW YORK
10024,321,15.0,0.0,46.0,0.0,0.885,46.0,,6.978260869565218,362.7118644067797,NEW YORK
10025,322,21.0,0.0,66.0,0.0,0.889,66.0,,4.878787878787879,362.20472440944883,NEW YORK
10026,103,1.0,0.0,3.0,0.0,0.383,3.0,,34.333333333333336,268.9295039164491,NEW YORK
10027,170,9.0,0.0,14.0,0.0,0.942,14.0,,12.142857142857142,180.46709129511677,NEW YORK
10028,265,18.0,0.0,77.0,0.0,0.316,77.0,,3.4415584415584415,838.6075949367089,NEW YORK
10029,133,3.0,0.0,38.0,0.0,1.153,38.0,,3.5,115.35125758889852,NEW YORK
10030,57,1.0,0.0,4.0,0.0,0.277,4.0,,14.25,205.77617328519852,NEW YORK
10031,93,1.0,0.0,20.0,0.0,0.669,20.0,,4.65,139.0134529147982,NEW YORK
10032,90,1.0,0.0,2.0,0.0,0.673,2.0,,45.0,133.72956909361068,NEW YORK
10033,96,4.0,0.0,16.0,0.0,0.596,16.0,,6.0,161.07382550335572,NEW YORK
10034,63,0.0,0.0,0.0,0.0,1.024,0.0,,,61.5234375,NEW YORK
10035,698,5.0,0.0,24.0,3.0,1.405,27.0,232.66666666666666,25.85185185185185,496.79715302491104,NEW YORK
10036,160,10.0,0.0,43.0,24.0,0.447,67.0,6.666666666666667,2.388059701492537,357.94183445190157,NEW YORK
10037,32,0.0,0.0,0.0,0.0,0.233,0.0,,,137.3390557939914,NEW YORK
10038,248,3.0,0.0,7.0,0.0,0.289,7.0,,35.42857142857143,858.1314878892734,NEW YORK
10039,44,0.0,0.0,0.0,0.0,0.299,0.0,,,147.1571906354515,NEW YORK
10040,67,0.0,0.0,0.0,0.0,0.567,0.0,,,118.16578483245151,NEW YORK
10044,63,3.0,0.0,6.0,0.0,0.23,6.0,,10.5,273.9130434782609,NEW YORK
10055,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10064,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10065,170,21.0,0.0,110.0,0.0,0.417,110.0,,1.5454545454545454,407.673860911271,NEW YORK
10069,95,12.0,0.0,27.0,0.0,0.041,27.0,,3.5185185185185186,2317.0731707317073,NEW YORK
10075,169,16.0,0.0,123.0,0.0,0.189,123.0,,1.3739837398373984,894.1798941798942,NEW YORK
10101,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10106,3,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10107,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10111,3,0.0,0.0,0.0,0.0,0.01,0.0,,,300.0,NEW YORK
10112,1,0.0,0.0,0.0,0.0,0.01,0.0,,,100.0,NEW YORK
10118,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10119,1,0.0,0.0,0.0,0.0,0.025,0.0,,,40.0,NEW YORK
10120,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10121,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10122,4,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10128,357,21.0,0.0,121.0,0.0,0.454,121.0,,2.950413223140496,786.3436123348017,NEW YORK
10150,4,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10151,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10153,4,0.0,0.0,0.0,0.0,0.005,0.0,,,800.0,NEW YORK
10155,1,1.0,0.0,3.0,0.0,,3.0,,0.3333333333333333,,NEW YORK
10162,7,1.0,0.0,20.0,0.0,0.013,20.0,,0.35,538.4615384615385,NEW YORK
10163,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10165,1,0.0,0.0,0.0,0.0,0.005,0.0,,,200.0,NEW YORK
10168,1,0.0,0.0,0.0,0.0,0.005,0.0,,,200.0,NEW YORK
10170,1,0.0,0.0,0.0,0.0,0.01,0.0,,,100.0,NEW YORK
10176,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10177,1,0.0,0.0,0.0,0.0,0.002,0.0,,,500.0,NEW YORK
10185,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10271,3,0.0,0.0,0.0,0.0,0.003,0.0,,,1000.0,NEW YORK
10279,2,0.0,0.0,0.0,0.0,0.004,0.0,,,500.0,NEW YORK
10280,36,6.0,0.0,19.0,0.0,0.107,19.0,,1.894736842105263,336.4485981308411,NEW YORK
10281,2,1.0,0.0,2.0,0.0,,2.0,,1.0,,NEW YORK
10282,43,6.0,0.0,19.0,0.0,0.069,19.0,,2.263157894736842,623.1884057971014,NEW YORK
10285,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
10301,434,2.0,0.0,9.0,0.0,3.758,9.0,,48.22222222222222,115.48696114954762,RICHMOND
10302,118,0.0,0.0,0.0,0.0,1.193,0.0,,,98.9103101424979,RICHMOND
10303,198,0.0,0.0,0.0,0.0,3.169,0.0,,,62.48027769012307,RICHMOND
10304,560,0.0,0.0,0.0,0.0,3.491,0.0,,,160.41248925809222,RICHMOND
10305,645,9.0,0.0,17.0,5.0,4.02,22.0,129.0,29.318181818181817,160.44776119402988,RICHMOND
10306,862,1.0,0.0,1.0,0.0,7.229,1.0,,862.0,119.24194217734126,RICHMOND
10307,213,1.0,0.0,3.0,0.0,1.614,3.0,,71.0,131.9702602230483,RICHMOND
10308,414,0.0,0.0,0.0,0.0,2.185,0.0,,,189.4736842105263,RICHMOND
10309,613,2.0,0.0,0.0,13.0,7.254,13.0,47.15384615384615,47.15384615384615,84.5051006341329,RICHMOND
10310,164,1.0,0.0,2.0,0.0,1.802,2.0,,82.0,91.00998890122086,RICHMOND
10312,985,0.0,0.0,0.0,0.0,6.872,0.0,,,143.33527357392316,RICHMOND
10314,1321,19.0,0.0,31.0,16.0,12.997,47.0,82.5625,28.106382978723403,101.6388397322459,RICHMOND
10451,77,4.0,0.0,29.0,0.0,1.056,29.0,,2.6551724137931036,72.91666666666666,BRONX
10452,183,0.0,0.0,0.0,0.0,0.982,0.0,,,186.35437881873727,BRONX
10453,120,0.0,0.0,0.0,0.0,0.902,0.0,,,133.03769401330376,BRONX
10454,72,0.0,0.0,0.0,0.0,1.06,0.0,,,67.9245283018868,BRONX
10455,102,1.0,0.0,6.0,0.0,0.701,6.0,,17.0,145.50641940085592,BRONX
10456,148,0.0,0.0,0.0,0.0,1.077,0.0,,,137.41875580315693,BRONX
10457,88,0.0,0.0,0.0,0.0,1.319,0.0,,,66.7172100075815,BRONX
10458,107,1.0,0.0,1.0,0.0,1.221,1.0,,107.0,87.63308763308763,BRONX
10459,61,1.0,0.0,10.0,0.0,0.831,10.0,,6.1,73.40553549939833,BRONX
10460,121,3.0,0.0,5.0,0.0,1.499,5.0,,24.2,80.72048032021347,BRONX
10461,251,2.0,0.0,3.0,0.0,2.388,3.0,,83.66666666666667,105.10887772194306,BRONX
10462,319,3.0,0.0,10.0,4.0,1.498,14.0,79.75,22.785714285714285,212.95060080106808,BRONX
10463,322,5.0,0.0,32.0,0.0,2.752,32.0,,10.0625,117.00581395348838,BRONX
10464,49,1.0,0.0,0.0,3.0,3.054,3.0,16.333333333333332,16.333333333333332,16.0445317616241,BRONX
10465,288,1.0,0.0,8.0,0.0,3.923,8.0,,36.0,73.41320418047412,BRONX
10467,228,4.0,0.0,8.0,0.0,2.33,8.0,,28.5,97.85407725321888,BRONX
10468,144,2.0,0.0,9.0,0.0,1.047,9.0,,16.0,137.53581661891118,BRONX
10469,266,6.0,0.0,7.0,30.0,2.426,37.0,8.866666666666667,7.1891891891891895,109.64550700741961,BRONX
10470,44,1.0,0.0,7.0,0.0,1.437,7.0,,6.285714285714286,30.619345859429366,BRONX
10471,279,5.0,0.0,72.0,0.0,1.712,72.0,,3.875,162.96728971962617,BRONX
10472,224,0.0,0.0,0.0,0.0,1.078,0.0,,,207.7922077922078,BRONX
10473,380,1.0,0.0,10.0,0.0,2.138,10.0,,38.0,177.73620205799813,BRONX
10474,26,1.0,0.0,10.0,0.0,1.534,10.0,,2.6,16.949152542372882,BRONX
10475,108,1.0,0.0,0.0,12.0,1.243,12.0,9.0,9.0,86.88656476267094,BRONX
10478,1,0.0,0.0,0.0,0.0,,0.0,,,,BRONX
10575,1,0.0,0.0,0.0,0.0,,0.0,,,,BRONX
11004,234,0.0,0.0,0.0,0.0,0.951,0.0,,,246.05678233438488,QUEENS
11005,15,0.0,0.0,0.0,0.0,0.183,0.0,,,81.9672131147541,QUEENS
11038,1,0.0,0.0,0.0,0.0,,0.0,,,,NEW YORK
11096,70,1.0,0.0,0.0,20.0,1.234,20.0,3.5,3.5,56.72609400324149,QUEENS
11101,1112,32.0,0.0,161.0,15.0,2.587,176.0,74.13333333333334,6.318181818181818,429.84151526865094,QUEENS
11102,161,3.0,0.0,16.0,0.0,0.701,16.0,,10.0625,229.67189728958633,QUEENS
11103,146,2.0,0.0,12.0,0.0,0.692,12.0,,12.166666666666666,210.9826589595376,QUEENS
11104,114,1.0,0.0,0.0,6.0,0.437,6.0,19.0,19.0,260.8695652173913,QUEENS
